UDI,Product ID,Type,Air temperature [K],Process temperature [K],Temperature difference [K],Rotational speed [rpm],Rotational speed (rad/s),Torque [Nm],Power (W),Tool wear [min],ToolWear_Torque,Machine failure,TWF,HDF,PWF,OSF,RNF,,,,,,,,,,,,,,,,
98,M14957,M,298.9,308.9,10,1750,183.26,29.9,5479.46,50,1495,0,0,0,0,0,0,,,,,,,,,,,,,,,,
99,L47278,L,298.9,308.8,9.9,1529,160.12,32.7,5235.81,53,1733.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
100,L47279,L,298.8,308.8,10,1523,159.49,44.4,7081.28,55,2442,0,0,0,0,0,0,,,,,,,,,,,,,,,,
101,L47280,L,298.8,308.9,10.1,1852,193.94,25,4848.52,57,1425,0,0,0,0,0,0,,,,,,,,,,,,,,,,
102,L47281,L,298.8,308.8,10,1991,208.50,20.7,4315.89,59,1221.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
103,L47282,L,298.8,308.8,10,1555,162.84,40.6,6611.27,61,2476.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
104,M14963,M,298.8,308.8,10,1441,150.90,40.5,6111.50,63,2551.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
105,L47284,L,298.8,308.7,9.9,1450,151.84,43.4,6590.01,66,2864.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
106,L47285,L,298.8,308.7,9.9,1591,166.61,31.1,5181.54,68,2114.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
107,L47286,L,298.8,308.7,9.9,1445,151.32,48.5,7339.02,70,3395,0,0,0,0,0,0,,,,,,,,,,,,,,,,
108,M14967,M,298.8,308.8,10,1497,156.77,46.8,7336.62,72,3369.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
109,H29522,H,298.9,308.8,9.9,1621,169.75,32.7,5550.85,75,2452.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
110,L47289,L,298.9,308.7,9.8,1572,164.62,34.1,5613.52,80,2728,0,0,0,0,0,0,,,,,,,,,,,,,,,,
111,L47290,L,298.8,308.6,9.8,1872,196.04,22.5,4410.80,82,1845,0,0,0,0,0,0,,,,,,,,,,,,,,,,
112,H29525,H,298.7,308.6,9.9,1499,156.97,43.5,6828.41,84,3654,0,0,0,0,0,0,,,,,,,,,,,,,,,,
113,M14972,M,298.8,308.7,9.9,1498,156.87,39.5,6196.37,89,3515.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
114,M14973,M,298.8,308.6,9.8,1486,155.61,41.9,6520.21,92,3854.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
115,L47294,L,298.8,308.6,9.8,1680,175.93,29.4,5172.32,95,2793,0,0,0,0,0,0,,,,,,,,,,,,,,,,
116,L47295,L,298.8,308.6,9.8,1431,149.85,45.7,6848.33,97,4432.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
117,L47296,L,298.9,308.7,9.8,1564,163.78,34.1,5584.96,99,3375.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
118,L47297,L,298.8,308.6,9.8,1599,167.45,33,5525.75,101,3333,0,0,0,0,0,0,,,,,,,,,,,,,,,,
119,M14978,M,298.8,308.6,9.8,1707,178.76,28.1,5023.06,103,2894.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
120,L47299,L,298.7,308.5,9.8,1467,153.62,40.7,6252.49,106,4314.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
121,L47300,L,298.9,308.7,9.8,1433,150.06,44.7,6707.83,108,4827.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
122,L47301,L,298.9,308.7,9.8,1558,163.15,41.2,6721.92,110,4532,0,0,0,0,0,0,,,,,,,,,,,,,,,,
123,L47302,L,299,308.8,9.8,1310,137.18,50.7,6955.17,112,5678.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
124,L47303,L,298.9,308.7,9.8,1546,161.90,43.4,7026.32,114,4947.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
125,L47304,L,298.9,308.7,9.8,1727,180.85,29.4,5317.02,116,3410.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
126,L47305,L,298.9,308.6,9.7,1560,163.36,32.2,5260.28,118,3799.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
127,L47306,L,299,308.6,9.6,1329,139.17,60.5,8419.94,120,7260,0,0,0,0,0,0,,,,,,,,,,,,,,,,
128,L47307,L,298.9,308.6,9.7,1413,147.97,46.5,6880.56,122,5673,0,0,0,0,0,0,,,,,,,,,,,,,,,,
129,L47308,L,299,308.6,9.6,1587,166.19,38.6,6414.94,124,4786.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
130,L47309,L,298.9,308.5,9.6,1559,163.26,34.3,5599.75,126,4321.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
131,L47310,L,298.8,308.4,9.6,1473,154.25,41.1,6339.77,128,5260.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
132,L47311,L,298.8,308.4,9.6,1737,181.90,27.7,5038.58,130,3601,0,0,0,0,0,0,,,,,,,,,,,,,,,,
133,M14992,M,298.7,308.4,9.7,1441,150.90,43.2,6518.93,132,5702.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
134,M14993,M,298.7,308.4,9.7,1430,149.75,49.6,7427.56,135,6696,0,0,0,0,0,0,,,,,,,,,,,,,,,,
135,L47314,L,298.8,308.4,9.6,1369,143.36,53,7598.15,138,7314,0,0,0,0,0,0,,,,,,,,,,,,,,,,
136,M14995,M,298.8,308.5,9.7,1711,179.18,28.5,5106.50,140,3990,0,0,0,0,0,0,,,,,,,,,,,,,,,,
137,H29550,H,298.7,308.5,9.8,1420,148.70,45.7,6795.68,143,6535.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
138,L47317,L,298.7,308.6,9.9,1297,135.82,55.3,7510.93,148,8184.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
139,H29552,H,298.8,308.6,9.8,1449,151.74,49.4,7495.90,150,7410,0,0,0,0,0,0,,,,,,,,,,,,,,,,
140,L47319,L,298.8,308.6,9.8,1268,132.78,55.8,7409.38,155,8649,0,0,0,0,0,0,,,,,,,,,,,,,,,,
141,L47320,L,298.8,308.6,9.8,1511,158.23,36.1,5712.16,157,5667.7,0,0,0,0,0,0,,,,,,,,,,,,,,,,
142,L47321,L,298.7,308.5,9.8,1544,161.69,35.2,5691.39,159,5596.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
143,M15002,M,298.6,308.4,9.8,1778,186.19,28.2,5250.61,161,4540.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
144,H29557,H,298.6,308.4,9.8,1407,147.34,50.5,7440.71,164,8282,0,0,0,0,0,0,,,,,,,,,,,,,,,,
145,M15004,M,298.6,308.4,9.8,1391,145.67,42.4,6176.20,169,7165.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
146,L47325,L,298.5,308.4,9.9,1513,158.44,33.6,5323.62,172,5779.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
147,H29560,H,298.5,308.4,9.9,1612,168.81,36.1,6093.98,174,6281.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
148,L47327,L,298.4,308.4,10,1515,158.65,40.1,6361.88,179,7177.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
149,M15008,M,298.3,308.3,10,1379,144.41,48,6931.61,181,8688,0,0,0,0,0,0,,,,,,,,,,,,,,,,
150,L47329,L,298.4,308.3,9.9,1473,154.25,39.9,6154.66,184,7341.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
151,L47330,L,298.4,308.3,9.9,1422,148.91,42.7,6358.52,186,7942.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
152,M15011,M,298.4,308.2,9.8,1463,153.21,37.6,5760.51,188,7068.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
153,M15012,M,298.4,308.2,9.8,1584,165.88,41,6800.92,191,7831,0,0,0,0,0,0,,,,,,,,,,,,,,,,
154,L47333,L,298.4,308.2,9.8,1850,193.73,27,5230.75,194,5238,0,0,0,0,0,0,,,,,,,,,,,,,,,,
155,L47334,L,298.4,308.2,9.8,1528,160.01,36.2,5792.43,196,7095.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
156,H29569,H,298.4,308.2,9.8,1987,208.08,19.8,4119.95,198,3920.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
157,M15016,M,298.4,308.1,9.7,1495,156.56,46,7201.58,203,9338,0,0,0,0,0,0,,,,,,,,,,,,,,,,
158,H29571,H,298.4,308.2,9.8,1478,154.78,43.5,6732.75,206,8961,0,0,0,0,0,0,,,,,,,,,,,,,,,,
159,M15018,M,298.4,308.2,9.8,1499,156.97,40,6279.00,211,8440,0,0,0,0,0,0,,,,,,,,,,,,,,,,
160,L47339,L,298.4,308.2,9.8,1471,154.04,47,7240.01,214,10058,0,0,0,0,0,0,,,,,,,,,,,,,,,,
161,L47340,L,298.4,308.2,9.8,1282,134.25,60.7,8149.02,216,13111.2,1,0,0,0,1,0,,,,,,,,,,,,,,,,
162,L47341,L,298.3,308.1,9.8,1412,147.86,52.3,7733.30,218,11401.4,1,0,0,0,1,0,,,,,,,,,,,,,,,,
163,L47342,L,298.3,308.1,9.8,1586,166.09,35.5,5896.04,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
164,M15023,M,298.4,308.2,9.8,1468,153.73,43.8,6733.31,2,87.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
165,M15024,M,298.5,308.3,9.8,1440,150.80,43.6,6574.73,5,218,0,0,0,0,0,0,,,,,,,,,,,,,,,,
166,L47345,L,298.5,308.4,9.9,1733,181.48,26,4718.46,8,208,0,0,0,0,0,0,,,,,,,,,,,,,,,,
167,H29580,H,298.4,308.2,9.8,1612,168.81,32.6,5503.15,10,326,0,0,0,0,0,0,,,,,,,,,,,,,,,,
168,H29581,H,298.4,308.3,9.9,1458,152.68,42.9,6550.03,15,643.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
169,L47348,L,298.4,308.3,9.9,1433,150.06,62.3,9348.95,20,1246,1,0,0,1,0,0,,,,,,,,,,,,,,,,
170,L47349,L,298.4,308.3,9.9,1318,138.02,59.1,8157.02,22,1300.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
171,M15030,M,298.4,308.2,9.8,1610,168.60,35,5900.96,24,840,0,0,0,0,0,0,,,,,,,,,,,,,,,,
172,L47351,L,298.2,308.1,9.9,1462,153.10,50.8,7777.49,27,1371.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
173,M15032,M,298.1,308,9.9,1924,201.48,20.8,4190.80,29,603.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
174,M15033,M,298.2,308,9.8,1591,166.61,33.7,5614.73,32,1078.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
175,L47354,L,298.2,308.1,9.9,1306,136.76,58.3,7973.34,35,2040.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
176,L47355,L,298.2,308.1,9.9,1382,144.72,43.5,6295.44,37,1609.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
177,L47356,L,298.2,308.1,9.9,1618,169.44,34.7,5879.45,39,1353.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
178,L47357,L,298.2,308.2,10,1988,208.18,21.4,4455.11,41,877.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
179,L47358,L,298.2,308.2,10,1436,150.38,50.2,7548.95,43,2158.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
180,L47359,L,298.2,308.3,10.1,1304,136.55,49.8,6800.42,45,2241,0,0,0,0,0,0,,,,,,,,,,,,,,,,
181,L47360,L,298.2,308.3,10.1,1475,154.46,49.9,7707.64,47,2345.3,0,0,0,0,0,0,,,,,,,,,,,,,,,,
182,H29595,H,298.2,308.3,10.1,1824,191.01,24.2,4622.41,49,1185.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
183,M15042,M,298.1,308.2,10.1,1342,140.53,48.1,6759.68,54,2597.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
184,L47363,L,298.1,308.2,10.1,1485,155.51,40.7,6329.21,57,2319.9,0,0,0,0,0,0,,,,,,,,,,,,,,,,
185,L47364,L,298.2,308.2,10,1667,174.57,30.6,5341.78,59,1805.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
186,L47365,L,298.2,308.2,10,1446,151.42,38.2,5784.43,61,2330.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
187,L47366,L,298.1,308.3,10.2,1301,136.24,56,7629.46,63,3528,0,0,0,0,0,0,,,,,,,,,,,,,,,,
188,L47367,L,298.2,308.4,10.2,1379,144.41,43.1,6224.01,65,2801.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
189,L47368,L,298.3,308.5,10.2,1606,168.18,33.6,5650.85,67,2251.2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
190,M15049,M,298.3,308.4,10.1,1539,161.16,43.4,6994.50,69,2994.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
191,L47370,L,298.2,308.4,10.2,1477,154.67,49.9,7718.09,72,3592.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
192,L47371,L,298.2,308.4,10.2,1666,174.46,34.6,6036.42,74,2560.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
193,H29606,H,298.2,308.4,10.2,1398,146.40,51.8,7583.43,76,3936.8,0,0,0,0,0,0,,,,,,,,,,,,,,,,
194,H29607,H,298.2,308.4,10.2,1678,175.72,34.6,6079.90,81,2802.6,0,0,0,0,0,0,,,,,,,,,,,,,,,,
195,M15054,M,298.2,308.5,10.3,2678,280.44,10.7,3000.70,86,920.2,1,0,0,1,0,0,,,,,,,,,,,,,,,,
196,L47375,L,298.3,308.5,10.2,1453,152.16,42.9,6527.57,89,3818.1,0,0,0,0,0,0,,,,,,,,,,,,,,,,
197,H29610,H,298.3,308.6,10.3,1432,149.96,49.5,7422.96,91,4504.5,0,0,0,0,0,0,,,,,,,,,,,,,,,,
198,M15057,M,298.4,308.6,10.2,1527,159.91,40.9,6540.20,96,3926.4,0,0,0,0,0,0,,,,,,,,,,,,,,,,
